workplace_id,n_visits_5y,n_investigations_5y,days_since_last_visit,primary_naics,n_orders_5y,n_stop_work_5y,n_time_unknown_5y,pct_complied_5y,investigation_ratio,target_serious_2023
27,24,11,17,212395.0,19,0,0,1.0,0.4583333333333333,1
28,8,6,17,212395.0,8,0,0,1.0,0.75,0
41,4,4,628,212220.0,1,0,0,1.0,1.0,0
69,16,16,66,111411.0,11,1,1,0.9090909090909091,1.0,0
136,12,6,225,311990.0,39,0,0,1.0,0.5,0
161,1,0,1194,541940.0,1,0,0,1.0,0.0,0
246,3,3,54,112340.0,3,0,0,1.0,1.0,0
254,1,0,2038,541940.0,1,0,0,1.0,0.0,0
534,3,0,947,113311.0,0,0,0,,0.0,0
650,2,0,145,113311.0,0,0,0,,0.0,0
796,1,0,766,113311.0,0,0,0,,0.0,0
853,6,0,1816,113311.0,0,0,0,,0.0,0
963,5,0,744,113311.0,2,0,0,1.0,0.0,0
966,2,1,501,113311.0,0,0,0,,0.5,0
1542,5,5,463,113311.0,5,1,1,0.8,1.0,0
1808,1,0,947,113311.0,0,0,0,,0.0,0
1879,79,50,17,212232.0,460,45,78,0.9,0.6329113924050633,1
1890,9,3,88,212393.0,7,0,0,1.0,0.3333333333333333,1
1900,2,0,1355,339990.0,1,0,0,1.0,0.0,0
1907,72,45,291,212232.0,379,56,110,0.8443271767810027,0.625,1
1909,53,32,10,212220.0,299,40,55,0.862876254180602,0.6037735849056604,1
1940,1,1,304,311111.0,0,0,0,,1.0,0
1977,127,101,87,311611.0,146,3,3,0.9726027397260274,0.7952755905511811,0
1999,8,4,73,445210.0,14,3,4,0.7857142857142857,0.5,0
2017,19,17,192,311990.0,3,0,0,1.0,0.8947368421052632,0
2061,4,2,598,311614.0,1,0,0,1.0,0.5,0
2138,7,5,33,722310.0,0,0,0,,0.7142857142857143,0
2147,6,1,400,311614.0,7,0,0,1.0,0.16666666666666666,0
2159,1,1,1002,445210.0,0,0,0,,1.0,0
2191,3,1,38,311611.0,11,0,0,1.0,0.3333333333333333,0
2193,1,0,884,311614.0,0,0,0,,0.0,0
2205,9,7,268,311340.0,7,0,0,1.0,0.7777777777777778,0
2253,3,2,562,413160.0,3,0,0,1.0,0.6666666666666666,0
2269,28,22,9,311615.0,27,0,0,1.0,0.7857142857142857,0
2272,17,8,45,311615.0,31,1,1,0.967741935483871,0.47058823529411764,0
2273,49,45,44,311615.0,17,0,0,1.0,0.9183673469387755,0
2278,12,12,499,413160.0,11,0,0,1.0,1.0,0
2286,10,9,177,311615.0,2,0,0,1.0,0.9,0
2296,15,14,57,311615.0,2,0,0,1.0,0.9333333333333333,0
2297,13,10,229,115210.0,5,0,0,1.0,0.7692307692307693,0
2318,7,6,270,312140.0,1,0,0,1.0,0.8571428571428571,0
2319,10,4,303,311515.0,20,4,4,0.8,0.4,1
2328,6,6,95,311511.0,5,0,0,1.0,1.0,0
2348,6,4,345,311511.0,0,0,0,,0.6666666666666666,0
2406,3,1,584,311515.0,0,0,0,,0.3333333333333333,0
2419,16,15,291,311515.0,19,0,0,1.0,0.9375,0
2425,15,15,381,311511.0,4,0,0,1.0,1.0,0
2430,18,16,196,311520.0,12,1,1,0.9166666666666666,0.8888888888888888,0
2443,8,7,122,311515.0,10,0,0,1.0,0.875,0
2448,11,3,458,311520.0,10,0,0,1.0,0.2727272727272727,0
2450,18,15,156,311515.0,16,0,0,1.0,0.8333333333333334,0
2495,28,27,36,311515.0,20,1,1,0.9,0.9642857142857143,0
2531,12,11,325,311710.0,15,1,2,0.7333333333333333,0.9166666666666666,0
2540,3,3,571,312120.0,0,0,0,,1.0,0
2562,25,21,58,311410.0,21,0,0,1.0,0.84,0
2598,13,7,143,311420.0,20,2,2,0.9,0.5384615384615384,0
2620,23,22,694,111411.0,45,2,2,0.9555555555555556,0.9565217391304348,0
2632,1,0,1514,442298.0,0,0,0,,0.0,0
2657,44,24,131,212232.0,231,28,36,0.8787878787878788,0.5454545454545454,1
2658,17,14,361,311111.0,15,1,1,0.9333333333333333,0.8235294117647058,0
2691,24,22,143,311111.0,29,2,2,0.9310344827586207,0.9166666666666666,0
2980,7,4,402,413190.0,5,0,0,1.0,0.5714285714285714,0
3065,15,14,37,311990.0,4,0,0,1.0,0.9333333333333333,0
3069,13,10,25,311814.0,11,1,1,0.9090909090909091,0.7692307692307693,0
3073,15,14,355,311821.0,5,0,0,1.0,0.9333333333333333,0
3082,14,12,374,311821.0,6,0,0,1.0,0.8571428571428571,0
3083,13,9,15,311821.0,2,0,0,1.0,0.6923076923076923,1
3084,15,15,338,311821.0,41,3,3,0.926829268292683,1.0,0
3088,2,0,103,339990.0,8,0,0,1.0,0.0,0
3189,15,10,442,311814.0,17,0,0,1.0,0.6666666666666666,0
3313,2,1,656,722511.0,0,0,0,,0.5,0
3379,7,0,1790,722310.0,18,1,1,0.9444444444444444,0.0,0
3381,8,7,255,311814.0,4,0,0,1.0,0.875,0
3459,6,4,135,311814.0,21,0,0,1.0,0.6666666666666666,0
3523,7,1,127,311811.0,6,0,0,1.0,0.14285714285714285,0
3943,34,33,218,311340.0,9,0,0,1.0,0.9705882352941176,0
3955,29,23,73,311340.0,11,0,0,1.0,0.7931034482758621,0
3963,2,2,592,611510.0,1,0,0,1.0,1.0,0
3976,1,0,25,311340.0,3,0,0,1.0,0.0,0
3984,19,18,185,336360.0,8,0,0,1.0,0.9473684210526315,0
3995,18,14,263,311310.0,18,1,1,0.9444444444444444,0.7777777777777778,0
4001,6,6,501,311224.0,7,2,2,0.42857142857142855,1.0,0
4005,42,41,24,311919.0,21,0,0,1.0,0.9761904761904762,0
4013,1,0,775,311824.0,1,0,0,1.0,0.0,0
4050,9,2,144,311920.0,15,0,0,1.0,0.2222222222222222,0
4073,3,1,983,311920.0,0,0,0,,0.3333333333333333,0
4080,8,5,268,311920.0,0,0,0,,0.625,0
4096,3,0,163,311920.0,3,0,0,1.0,0.0,0
4140,13,9,67,311990.0,14,3,3,0.7857142857142857,0.6923076923076923,0
4168,4,2,158,312110.0,1,0,0,1.0,0.5,0
4184,16,15,530,311824.0,2,0,0,1.0,0.9375,0
4188,11,8,212,311824.0,13,0,0,1.0,0.7272727272727273,0
4198,17,17,255,312110.0,1,0,0,1.0,1.0,0
4212,1,0,2102,413210.0,0,0,0,,0.0,0
4220,7,7,330,413210.0,0,0,0,,1.0,0
4223,15,15,116,493110.0,2,0,0,1.0,1.0,0
4237,8,6,131,484229.0,28,0,0,1.0,0.75,0
4287,9,8,213,312140.0,9,0,0,1.0,0.8888888888888888,1
4299,24,20,93,312120.0,19,0,0,1.0,0.8333333333333334,0
4315,12,11,109,312120.0,8,2,2,0.75,0.9166666666666666,0
4344,120,87,11,212232.0,771,95,171,0.8754863813229572,0.725,1
4358,75,50,9,212232.0,493,64,132,0.8377281947261663,0.6666666666666666,1
4374,12,12,431,326210.0,4,0,0,1.0,1.0,0
4442,5,4,709,326290.0,3,0,0,1.0,0.8,0
4485,8,4,201,326290.0,14,2,4,0.8571428571428571,0.5,0
4613,1,0,1328,339990.0,3,0,0,1.0,0.0,0
4614,6,3,592,314910.0,17,1,2,0.9411764705882353,0.5,1
